temp,bpm,red,adc,med,trig,max,min
29.500000,139.327312,9544,8240,8232,0,8272,8224
29.000001,139.327312,9552,8224,8240,0,8272,8224
29.937501,139.327312,9528,8216,8232,0,8272,8224
28.687501,139.327312,9552,8232,8232,0,8272,8224
29.187500,139.327312,9544,8256,8232,0,8264,8224
29.125002,139.327312,9528,8208,8232,0,8264,8224
29.312501,139.327312,9552,8200,8224,0,8264,8224
29.125002,139.327312,9536,8232,8216,0,8264,8216
29.937501,139.327312,9544,8208,8232,0,8264,8216
29.312501,139.327312,9536,8224,8208,0,8256,8208
29.937501,139.327312,9520,8208,8208,0,8240,8208
29.687500,139.327312,9544,8200,8208,0,8240,8208
29.437502,139.327312,9544,8216,8208,0,8240,8208
29.500000,139.327312,9544,8200,8208,0,8240,8208
30.187500,139.327312,9528,8200,8208,0,8240,8208
29.937501,139.327312,9512,8208,8200,0,8240,8200
30.000000,139.327312,9536,8192,8200,0,8240,8200
29.937501,139.327312,9512,8168,8200,0,8240,8200
29.812500,139.327312,9528,8208,8200,0,8240,8200
30.187500,139.327312,9528,8200,8200,0,8240,8200
29.000001,139.327312,9520,8208,8200,0,8240,8200
30.000000,139.327312,9520,8200,8200,0,8240,8200
29.437502,139.327312,9528,8184,8200,0,8232,8200
29.687500,139.327312,9504,8208,8200,0,8232,8200
29.625001,139.327312,9488,8216,8200,0,8232,8200
29.437502,139.327312,9480,8192,8208,0,8232,8200
29.125002,139.327312,9488,8176,8200,0,8232,8200
29.812500,139.327312,9512,8200,8192,0,8232,8192
29.312501,139.327312,9504,8184,8200,0,8232,8192
29.937501,139.327312,9496,8200,8192,0,8208,8192
30.187500,139.327312,9504,8192,8192,0,8208,8192
29.937501,139.327312,9520,8160,8192,0,8208,8192
29.937501,139.327312,9512,8176,8192,0,8208,8192
30.187500,139.327312,9504,8168,8184,0,8208,8184
29.812500,139.327312,9512,8168,8176,0,8208,8176
28.500002,139.327312,9496,8160,8168,0,8208,8168
29.812500,139.327312,9480,8160,8168,0,8208,8168
29.437502,139.327312,9480,8152,8168,0,8208,8168
29.187500,139.327312,9488,8152,8160,0,8208,8160
29.812500,139.327312,9472,8152,8160,0,8208,8160
29.500000,139.327312,9472,8144,8152,0,8208,8152
29.937501,139.327312,9464,8152,8152,0,8208,8152
29.437502,139.327312,9456,8128,8152,0,8208,8152
29.625001,139.327312,9456,8152,8152,0,8208,8152
29.687500,139.327312,9488,8128,8152,0,8208,8152
29.937501,139.327312,9464,8136,8144,0,8208,8144
29.625001,139.327312,9440,8144,8136,0,8200,8136
30.187500,139.327312,9472,8160,8136,0,8200,8136
29.937501,139.327312,9432,8144,8144,0,8200,8136
29.812500,139.327312,9456,8128,8144,0,8192,8136
29.687500,139.327312,9472,8120,8144,0,8192,8136
30.500000,139.327312,9448,8120,8144,0,8192,8136
29.625001,139.327312,9448,8128,8128,0,8192,8128
30.125000,139.327312,9464,8120,8128,0,8184,8128
30.500000,139.327312,9480,8128,8120,0,8176,8120
30.437500,139.327312,9440,8160,8120,0,8168,8120
30.625000,139.327312,9456,8136,8128,0,8168,8120
29.625001,139.327312,9456,8128,8128,0,8168,8120
29.500000,139.327312,9432,8160,8128,0,8160,8120
29.187500,139.327312,9448,8104,8136,0,8160,8120
29.312501,139.327312,9464,8104,8136,0,8152,8120
29.687500,139.327312,9448,8072,8128,0,8152,8120
29.625001,139.327312,9448,8120,8104,0,8152,8104
29.687500,139.327312,9432,8104,8104,0,8152,8104
29.437502,139.327312,9440,8128,8104,0,8152,8104
29.625001,139.327312,9416,8120,8104,0,8144,8104
30.437500,139.327312,9432,8112,8120,0,8144,8104
29.812500,139.327312,9432,8088,8120,0,8144,8104
30.187500,139.327312,9416,8128,8112,0,8144,8104
30.437500,139.327312,9424,8088,8120,0,8144,8104
30.500000,139.327312,9424,8088,8112,0,8144,8104
30.312500,139.327312,9424,8128,8088,0,8144,8088
30.312500,139.327312,9424,8104,8088,0,8136,8088
30.187500,139.327312,9432,8112,8104,0,8136,8088
30.000000,139.327312,9408,8096,8104,0,8136,8088
29.937501,139.327312,9448,8088,8104,0,8136,8088
29.500000,139.327312,9416,8112,8104,0,8136,8088
30.500000,139.327312,9408,8088,8104,0,8136,8088
29.937501,139.327312,9416,8104,8096,0,8136,8088
30.312500,139.327312,9408,8096,8096,0,8136,8088
31.125000,139.327312,9432,8112,8096,0,8136,8088
29.437502,139.327312,9432,8104,8104,0,8128,8088
30.000000,139.327312,9416,8072,8104,0,8120,8088
30.125000,139.327312,9440,8072,8104,0,8120,8088
30.187500,139.327312,9400,8080,8096,0,8120,8088
29.687500,139.327312,9392,8088,8080,0,8120,8080
29.687500,139.327312,9376,8072,8080,0,8120,8080
29.937501,139.327312,9384,8064,8072,0,8120,8072
30.437500,139.327312,9416,8104,8072,0,8120,8072
30.937500,139.327312,9408,8096,8080,0,8120,8072
30.125000,139.327312,9432,8064,8088,0,8112,8072
30.125000,139.327312,9384,8080,8072,0,8104,8072
29.500000,139.327312,9408,8080,8080,0,8104,8072
29.687500,139.327312,9352,8072,8080,0,8104,8072
29.625001,139.327312,9368,8032,8080,0,8104,8072
29.937501,139.327312,9384,8048,8072,0,8104,8072
29.937501,139.327312,9392,8088,8072,0,8104,8072
29.812500,139.327312,9392,8080,8072,0,8104,8072
29.500000,139.327312,9392,8072,8072,0,8104,8072
30.187500,139.327312,9400,8064,8072,0,8104,8072
29.937501,139.327312,9392,8080,8072,0,8104,8072
30.187500,139.327312,9416,8072,8080,0,8104,8072
30.125000,139.327312,9440,8072,8072,0,8104,8072
31.125000,139.327312,9360,8088,8072,0,8104,8072
29.812500,139.327312,9352,8048,8072,0,8096,8072
29.937501,139.327312,9344,8048,8072,0,8088,8072
30.000000,139.327312,9392,8064,8072,0,8088,8072
30.000000,139.327312,9384,8080,8064,0,8088,8064
30.625000,139.327312,9400,8056,8064,0,8088,8064
30.125000,139.327312,9416,8056,8056,0,8088,8056
30.187500,139.327312,9392,8064,8056,0,8088,8056
30.000000,139.327312,9392,8056,8064,0,8080,8056
30.687501,139.327312,9376,8040,8056,0,8080,8056
31.000001,139.327312,9408,8040,8056,0,8080,8056
30.312500,139.327312,9400,8024,8056,0,8080,8056
30.625000,139.327312,9368,8032,8040,0,8080,8040
30.312500,139.327312,9360,8040,8040,0,8080,8040
30.937500,139.327312,9344,8008,8040,0,8080,8040
31.000001,139.327312,9312,8048,8032,0,8080,8032
29.437502,139.327312,9304,8040,8032,0,8080,8032
30.187500,139.327312,9336,8048,8040,0,8080,8032
30.312500,139.327312,9336,8040,8040,0,8080,8032
30.625000,139.327312,9344,8016,8040,0,8072,8032
30.625000,139.327312,9312,8032,8040,0,8072,8032
30.312500,139.327312,9328,8048,8040,0,8072,8032
30.125000,139.327312,9312,8016,8040,0,8072,8032
30.000000,139.327312,9304,8024,8032,0,8072,8032
30.187500,139.327312,9352,8024,8024,0,8064,8024
30.000000,139.327312,9336,8048,8024,0,8064,8024
31.250000,139.327312,9352,8016,8024,0,8064,8024
30.000000,139.327312,9352,8016,8024,0,8064,8024
30.312500,139.327312,9304,8032,8024,0,8064,8024
30.625000,139.327312,9304,8032,8024,0,8056,8024
30.187500,139.327312,9320,8008,8032,0,8056,8024
30.500000,139.327312,9336,7992,8016,0,8056,8016
30.187500,139.327312,9336,8024,8016,0,8040,8016
30.437500,139.327312,9328,8024,8024,0,8040,8016
30.500000,139.327312,9304,8000,8024,0,8040,8016
30.437500,139.327312,9352,8032,8008,0,8040,8008
30.312500,139.327312,9320,8024,8024,0,8040,8008
30.937500,139.327312,9312,8016,8024,0,8040,8008
31.437500,139.327312,9288,7992,8024,0,8040,8008
31.000001,139.327312,9304,8024,8016,0,8040,8008
31.000001,139.327312,9288,8008,8024,0,8040,8008
31.437500,139.327312,9304,8000,8016,0,8040,8008
31.125000,139.327312,9320,8000,8008,0,8040,8008
31.250000,139.327312,9336,8008,8000,0,8032,8000
30.812500,139.327312,9288,8008,8008,0,8032,8000
31.125000,139.327312,9304,7968,8008,0,8032,8000
31.250000,139.327312,9256,7928,8000,0,8032,8000
30.437500,139.327312,9032,7856,8000,0,8032,8000
30.437500,139.327312,8760,7712,7968,0,8032,7968
30.625000,139.327312,8896,7304,7928,0,8032,7928
31.000001,139.327312,8448,7400,7856,0,8032,7856
31.000001,139.327312,13832,11968,7712,0,8024,7712
30.625000,139.327312,16208,10904,7712,0,8024,7712
30.625000,139.327312,9264,7224,7712,0,8024,7712
31.250000,139.327312,4384,4184,7400,0,8024,7400
30.937500,139.327312,2040,2352,7400,0,8024,7400
30.937500,139.327312,1232,1560,7224,0,8024,7224
30.687501,139.327312,1000,1240,4184,0,8024,4184
30.687501,139.327312,1056,1232,2352,0,8024,2352
30.687501,139.327312,1368,1352,1560,0,8024,1560
30.812500,139.327312,1512,1344,1352,0,8024,1352
30.187500,139.327312,1544,1320,1344,0,8016,1344
30.687501,139.327312,1632,1352,1320,0,8008,1320
30.125000,139.327312,1816,1432,1344,0,8008,1320
30.625000,139.327312,2056,1584,1352,0,8008,1320
31.125000,139.327312,2280,1784,1352,0,8008,1320
31.500001,139.327312,2648,2088,1432,0,8000,1320
29.687500,139.327312,3304,2712,1584,0,8000,1320
30.312500,139.327312,4272,3640,1784,0,7968,1320
29.687500,139.327312,5512,4656,2088,0,7928,1320
30.500000,139.327312,7944,6520,2712,0,7856,1320
30.687501,139.327312,13312,9992,3640,0,7712,1320
30.625000,139.327312,14080,10880,4656,0,7712,1320
30.437500,41.216235,14120,10680,6520,1,7712,1320
30.125000,41.216235,13832,9792,9992,1,9992,1320
30.500000,41.216235,9616,7440,9992,1,9992,1320
30.937500,41.216235,6240,5200,9992,1,9992,1320
30.687501,41.216235,4864,4152,9792,1,9992,1320
31.312501,41.216235,4608,3952,7440,1,9992,1320
30.000000,41.216235,4072,3536,5200,1,9992,1320
31.000001,41.216235,3384,3000,4152,0,9992,1320
31.125000,41.216235,3000,2864,3952,0,9992,1320
30.437500,41.216235,3096,2968,3536,0,9992,1320
30.625000,41.216235,3800,3512,3000,0,9992,1344
30.937500,41.216235,5352,4744,3000,0,9992,1352
30.625000,41.216235,8144,6784,3000,0,9992,1352
31.125000,41.216235,11928,9112,3512,0,9992,1432
31.250000,41.216235,13952,10784,4744,0,9992,1584
30.187500,41.216235,15040,10392,6784,0,9992,1784
30.312500,39.438939,8104,6968,9112,1,9992,2088
30.437500,39.438939,10368,8472,9112,1,9992,2712
29.687500,39.438939,11160,9056,9112,1,9992,3000
30.437500,39.438939,11192,9016,9056,1,9992,3000
31.250000,39.438939,11232,9000,9016,1,9992,3000
30.187500,39.438939,11352,9056,9000,1,9992,3000
31.125000,39.438939,11464,9104,9016,1,9992,3000
31.250000,39.438939,11424,9088,9056,1,9992,3000
30.625000,39.438939,11504,9128,9056,1,9792,3000
31.312501,39.438939,11536,9112,9088,1,9112,3000
31.250000,39.438939,11504,9088,9104,1,9112,3000
29.937501,39.438939,11488,9064,9104,1,9112,3000
31.000001,39.438939,11480,9016,9088,1,9112,3000
30.500000,39.438939,11640,9008,9088,1,9112,3000
31.000001,39.438939,11376,8968,9064,1,9112,3000
30.437500,39.438939,11368,8912,9016,1,9112,3000
31.000001,39.438939,11320,8888,9008,1,9112,3000
30.812500,39.438939,11248,8808,8968,1,9112,3512
30.687501,39.438939,11248,8848,8912,1,9112,4744
31.125000,39.438939,11224,8840,8888,1,9112,6784
31.250000,39.438939,11224,8800,8848,0,9112,8848
30.937500,39.438939,11192,8792,8840,0,9112,8840
31.437500,39.438939,11200,8768,8808,0,9112,8808
30.937500,39.438939,11168,8776,8800,0,9104,8800
31.500001,39.438939,11144,8744,8792,0,9104,8792
31.437500,39.438939,11136,8736,8776,0,9104,8776
30.625000,39.438939,11160,8728,8768,0,9104,8768
30.937500,39.438939,11120,8720,8744,0,9104,8744
31.000001,39.438939,11136,8720,8736,0,9104,8736
30.500000,39.438939,11120,8704,8728,0,9104,8728
31.000001,39.438939,11104,8712,8720,0,9104,8720
31.312501,39.438939,11104,8680,8720,0,9104,8720
31.000001,39.438939,11080,8656,8712,0,9088,8712
30.812500,39.438939,11072,8664,8704,0,9088,8704
31.500001,39.438939,11080,8664,8680,0,9064,8680
30.000000,39.438939,11040,8696,8664,0,9016,8664
30.812500,39.438939,11048,8664,8664,0,9008,8664
31.250000,39.438939,11048,8640,8664,0,8968,8664
30.187500,39.438939,11064,8672,8664,0,8912,8664
31.750000,39.438939,11032,8640,8664,0,8888,8664
31.312501,39.438939,11032,8640,8664,0,8848,8664
30.500000,39.438939,11040,8616,8640,0,8840,8640
31.125000,39.438939,11032,8632,8640,0,8808,8640
30.625000,39.438939,11024,8616,8640,0,8800,8640
